0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,-0.1,0.0,-0.06,-0.03,0.04,-0.02,0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,1.0,-0.19,0.16,0.1,-0.05,0.09,-0.01,0.12,0.03,0.04,-0.06,0.03,0.02,0.0,0.03,0.04,0.02,0.01,0.02,0.0,0.0,0.01,0.03,0.0,0.01,0.0,0.02
0.0,-0.19,1.0,0.12,0.11,0.0,0.09,0.0,0.1,0.06,0.05,-0.27,0.02,-0.01,-0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
-0.06,0.16,0.12,1.0,0.21,-0.17,0.17,-0.02,0.22,0.09,0.08,-0.38,0.02,0.0,-0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.03,0.1,0.11,0.21,1.0,0.06,-0.02,0.0,0.16,0.08,0.07,-0.37,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-0.05,0.0,-0.17,0.06,1.0,0.02,0.0,0.05,0.07,0.04,-0.26,0.0,-0.03,-0.12,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01,-0.03
-0.02,0.09,0.09,0.17,-0.02,0.02,1.0,-0.03,0.13,0.09,0.07,-0.25,0.0,0.0,-0.26,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,-0.02
0.01,-0.01,0.0,-0.02,0.0,0.0,-0.03,1.0,0.01,0.03,0.02,-0.06,-0.49,-0.01,0.0,-0.29,-0.25,-0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,-0.07
-0.04,0.12,0.1,0.22,0.16,0.05,0.13,0.01,1.0,0.06,0.1,-0.29,0.01,-0.21,-0.17,0.02,0.02,-0.04,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.03,-0.04
0.0,0.03,0.06,0.09,0.08,0.07,0.09,0.03,0.06,1.0,0.02,-0.21,0.0,-0.12,-0.11,0.0,0.0,-0.04,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,-0.03,-0.04
0.0,0.04,0.05,0.08,0.07,0.04,0.07,0.02,0.1,0.02,1.0,-0.14,0.0,-0.08,-0.03,0.01,0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,-0.02,-0.02
